game_name,game_price,release_date,publisher,developer,all_review_score,all_review_count,genre,features
Counter-Strike: Global Offensive,Free to Play,"21 Aug, 2012",Valve,Valve,Very Positive,7155319,Action,"['Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']"
Apex Legends™,Free to Play,"4 Nov, 2020",Electronic Arts,Respawn Entertainment,Very Positive,638200,Action,"['Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']"
Red Dead Redemption 2,230.00,"5 Dec, 2019",Rockstar Games,Rockstar Games,Very Positive,361295,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']"
Destiny 2,Free To Play,"1 Oct, 2019",Bungie ,Bungie,Very Positive,538286,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']"
Call of Duty®: Modern Warfare® II,395.00,"27 Oct, 2022",Activision,Infinity Ward,Mixed,205084,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']"
PUBG: BATTLEGROUNDS,Free to Play,"21 Dec, 2017","KRAFTON, Inc.","KRAFTON, Inc.",Mixed,2168085,Action,"['Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']"
Resident Evil 4,239.00,"23 Mar, 2023","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Overwhelmingly Positive,45879,Action,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
Sons Of The Forest,110.95,"23 Feb, 2023",Newnight ,Endnight Games Ltd,Very Positive,111514,Action,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']"
Grand Theft Auto V,191.00,"14 Apr, 2015",Rockstar Games,Rockstar North,Very Positive,1398488,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']"
Wartales,131.95,"12 Apr, 2023",Shiro Unlimited,Shiro Games,Very Positive,12164,Adventure,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']"
War Thunder,Free to Play,"15 Aug, 2013",Gaijin Distribution KFT,Gaijin Entertainment,Mostly Positive,393504,Action,"['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']"
Hogwarts Legacy,239.00,"10 Feb, 2023",Warner Bros. Games,Avalanche Software,Very Positive,142816,Action,"['Single-player', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud']"
EA SPORTS™ FIFA 23,289.00,"29 Sep, 2022",Electronic Arts,EA Canada & EA Romania,Mixed,84544,Simulation,"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']"
Sea of Thieves 2023 Edition,179.00,"3 Jun, 2020",Xbox Game Studios,Rare Ltd,Very Positive,238402,Action,"['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']"
Rust,149.95,"8 Feb, 2018",Facepunch Studios,Facepunch Studios,Very Positive,742492,Action,"['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']"
Cyberpunk 2077,269.00,"9 Dec, 2020",CD PROJEKT RED,CD PROJEKT RED,Mostly Positive,532487,RPG,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
Dota 2,Free to Play,"9 Jul, 2013",Valve,Valve,Very Positive,1969545,Action,"['Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']"
Path of Exile,Free to Play,"23 Oct, 2013",Grinding Gear Games,Grinding Gear Games,Very Positive,200024,Action,"['Single-player', 'MMO', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet']"
Dead by Daylight,73.95,"14 Jun, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,Very Positive,475679,Action,"['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']"
Warframe,Free to Play,"25 Mar, 2013",Digital Extremes,Digital Extremes,Very Positive,527077,Action,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']"
DREDGE,94.95,"30 Mar, 2023",Team17,Black Salt Games,Overwhelmingly Positive,8030,Adventure,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
Tom Clancy's Rainbow Six® Siege,79.00,"1 Dec, 2015",Ubisoft,Ubisoft Montreal,Very Positive,953995,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']"
The Elder Scrolls® Online,85.00,"4 Apr, 2014",Bethesda Softworks,ZeniMax Online Studios,Very Positive,110133,Action,"['MMO', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support']"
Deep Rock Galactic,110.95,"13 May, 2020",Coffee Stain Publishing,Ghost Ship Games,Overwhelmingly Positive,162092,Action,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV']"
MONSTER HUNTER RISE,239.00,"12 Jan, 2022","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Very Positive,45795,Action,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
ELDEN RING,249.00,"24 Feb, 2022",FromSoftware Inc.,FromSoftware Inc.,Very Positive,500029,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
Total War: WARHAMMER III,249.95,"16 Feb, 2022",SEGA,CREATIVE ASSEMBLY,Mostly Positive,49447,Action,"['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
Summoners War: Chronicles,Free To Play,"9 Nov, 2022",Com2uS,Com2uS,Very Positive,7570,Action,"['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support']"
Dying Light 2 Stay Human,249.00,"3 Feb, 2022",Techland,Techland,Mostly Positive,103721,Action,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']"
The Sims™ 4,Free To Play,"2 Sep, 2014",Electronic Arts,Maxis,Very Positive,95623,Adventure,"['Single-player', 'Steam Trading Cards', 'Remote Play on Tablet']"
NBA 2K23,319.00,"8 Sep, 2022",2K,Visual Concepts,Mixed,21763,Simulation,"['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']"
Demonologist,55.95,"27 Mar, 2023",Clock Wizard Games,Clock Wizard Games,Very Positive,3993,Action,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']"
Sun Haven,92.95,"10 Mar, 2023",Pixel Sprout Studios,Pixel Sprout Studios,Very Positive,5575,Adventure,"['Single-player', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
NARAKA: BLADEPOINT,109.95,"11 Aug, 2021",NetEase Games Global,24 Entertainment,Mostly Positive,127791,Action,"['Online PvP', 'In-App Purchases', 'Partial Controller Support']"
Yu-Gi-Oh! Master Duel,Free To Play,"18 Jan, 2022",Konami Digital Entertainment,Konami Digital Entertainment,Mostly Positive,59343,Free to Play,"['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']"
Forza Horizon 5,818.00,"8 Nov, 2021",Xbox Game Studios,Playground Games,Very Positive,105690,Action,"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
FINAL FANTASY XIV Online,41.00,"18 Feb, 2014",Square Enix,Square Enix,Very Positive,59809,Massively Multiplayer,"['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Partial Controller Support', 'Remote Play on Tablet']"
Team Fortress 2,Free to Play,"10 Oct, 2007",Valve,Valve,Very Positive,948353,Action,"['Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']"
Far Cry® 5,239.00,"26 Mar, 2018",Ubisoft,Ubisoft Montreal,Very Positive,124496,Action,"['Single-player', 'Online Co-op', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support', 'Includes level editor']"
Forza Horizon 4,289.00,"9 Mar, 2021",Xbox Game Studios,Playground Games,Very Positive,163451,Racing,"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
Hades,92.95,"17 Sep, 2020",Supergiant Games,Supergiant Games,Overwhelmingly Positive,206582,Action,"['Single-player', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']"
Grounded,159.00,"27 Sep, 2022",Xbox Game Studios,Obsidian Entertainment,Very Positive,41933,Action,"['Single-player', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']"
Age of Empires IV: Anniversary Edition,149.00,"28 Oct, 2021",Xbox Game Studios,Relic Entertainment,Very Positive,36930,Strategy,"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']"
Farming Simulator 22,122.99,"21 Nov, 2021",Giants Software,Giants Software,Very Positive,33296,Simulation,"['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']"
Phasmophobia,51.95,"18 Sep, 2020",Kinetic Games,Kinetic Games,Overwhelmingly Positive,446278,Action,"['Single-player', 'Online Co-op', 'Full controller support', 'Tracked Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']"
Project Zomboid,288.90,"8 Nov, 2013",The Indie Stone,The Indie Stone,Very Positive,147057,Indie,"['Single-player', 'Online PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Remote Play Together']"
Ready or Not,129.95,"17 Dec, 2021",VOID Interactive,VOID Interactive,Very Positive,83417,Action,"['Single-player', 'Online Co-op', 'Steam Cloud']"
Europa Universalis IV,154.95,"13 Aug, 2013",Paradox Interactive,Paradox Development Studio,Very Positive,79211,Simulation,"['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']"
Cities: Skylines,115.95,"10 Mar, 2015",Paradox Interactive,Colossal Order Ltd.,Very Positive,169195,Simulation,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet']"
Baldur's Gate 3,269.00,"6 Oct, 2020",Larian Studios,Larian Studios,Very Positive,54211,Adventure,"['Single-player', 'Online Co-op', 'LAN Co-op', 'Steam Cloud']"
